protein_name,dengue
QVJ82483.1,dengue virus type 4
UZJ81408.1,dengue virus type 4
WCZ55634.1,dengue virus type 4
,dengue virus type 4
WRW13085.1,dengue virus type 4
BBG31516.1,dengue virus type 4
YAJ45066.1,dengue virus type 4
WGD01104.1,dengue virus type 4
XQH47612.1,dengue virus type 4
WXR65036.1,dengue virus type 4
XKQ27354.1,dengue virus type 4
AQV12741.1,dengue virus type 4
QST05092.1,dengue virus type 4
UKS50271.1,dengue virus type 4
QTX92121.1,dengue virus type 4
QTX92220.1,dengue virus type 4
UNO86024.1,dengue virus type 4
UZJ81441.1,dengue virus type 4
WRW13110.1,dengue virus type 4
WCZ55640.1,dengue virus type 4
UZJ81409.1,dengue virus type 4
AQV12662.1,dengue virus type 4
QCE20764.1,dengue virus type 4
BBG31517.1,dengue virus type 4
QTX92288.1,dengue virus type 4
XKV17339.1,dengue virus type 4
WXR65044.1,dengue virus type 4
UDW38825.1,dengue virus type 4
AQV12709.1,dengue virus type 4
WRW13050.1,dengue virus type 4
XJO53393.1,dengue virus type 4
ACH99664.1,dengue virus type 4
UJT50353.1,dengue virus type 4
UZJ81398.1,dengue virus type 4
WCZ55648.1,dengue virus type 4
AQV12728.1,dengue virus type 4
QEP41647.1,dengue virus type 4
XCT47115.1,dengue virus type 4
AQV12721.1,dengue virus type 4
AIQ84240.1,dengue virus type 4
UKS50267.1,dengue virus type 4
AIQ84238.1,dengue virus type 4
WWT53185.1,dengue virus type 4
UDW38824.1,dengue virus type 4
XKQ27370.1,dengue virus type 4
AQV12752.1,dengue virus type 4
AKQ00032.1,dengue virus type 4
QTX92177.1,dengue virus type 4
WVN40824.1,dengue virus type 4
QTX92287.1,dengue virus type 4
WLD15692.1,dengue virus type 4
WVN40839.1,dengue virus type 4
QTX92247.1,dengue virus type 4
ACW83013.1,dengue virus type 4
QFS19541.1,dengue virus type 4
XQH47593.1,dengue virus type 4
AIQ84227.1,dengue virus type 4
QTX92093.1,dengue virus type 4
QPJ20200.1,dengue virus type 4
QTX92292.1,dengue virus type 4
AQV12742.1,dengue virus type 4
QTX92176.1,dengue virus type 4
QTX92263.1,dengue virus type 4
XQH47642.1,dengue virus type 4
QTX92257.1,dengue virus type 4
WME20568.1,dengue virus type 4
UXX63138.1,dengue virus type 4
WRW13123.1,dengue virus type 4
QKO24022.1,dengue virus type 4
QTX92114.1,dengue virus type 4
AKQ00037.1,dengue virus type 4
XVO18450.1,dengue virus type 4
AHG06380.1,dengue virus type 4
XQH47585.1,dengue virus type 4
WRW13081.1,dengue virus type 4
ABR13879.1,dengue virus type 4
QTX92322.1,dengue virus type 4
XQH47578.1,dengue virus type 4
QTX92393.1,dengue virus type 4
QTX92146.1,dengue virus type 4
ACW83008.1,dengue virus type 4
WCZ55596.1,dengue virus type 4
AFX65872.1,dengue virus type 4
QTX92300.1,dengue virus type 4
YDE81638.1,dengue virus type 4
QDG00755.1,dengue virus type 4
WDZ68274.1,dengue virus type 4
WME20570.1,dengue virus type 4
AQV12683.1,dengue virus type 4
QTX92194.1,dengue virus type 4
QTX92171.1,dengue virus type 4
AHN50410.1,dengue virus type 4
UZJ81407.1,dengue virus type 4
AQV12660.1,dengue virus type 4
QTX92161.1,dengue virus type 4
QTX92273.1,dengue virus type 4
QTX92340.1,dengue virus type 4
WGD01093.1,dengue virus type 4
QTX92149.1,dengue virus type 4
QTX92277.1,dengue virus type 4
AQV12771.1,dengue virus type 4
BBG31519.1,dengue virus type 4
UZJ81428.1,dengue virus type 4
AAG45437.1,dengue virus type 4
ARN79601.1,dengue virus type 4
UKS50266.1,dengue virus type 4
WVN40865.1,dengue virus type 4
YAJ45096.1,dengue virus type 4
QTX92366.1,dengue virus type 4
QTX92186.1,dengue virus type 4
WRW13076.1,dengue virus type 4
QTX92207.1,dengue virus type 4
XKQ27378.1,dengue virus type 4
YAA48914.1,dengue virus type 4
QTX92253.1,dengue virus type 4
USW91936.1,dengue virus type 4
QTX92100.1,dengue virus type 4
WRW13119.1,dengue virus type 4
QTX92351.1,dengue virus type 4
WXR65037.1,dengue virus type 4
WCZ55627.1,dengue virus type 4
AFY10033.1,dengue virus type 4
ACW82933.1,dengue virus type 4
AQV12698.1,dengue virus type 4
QTX92382.1,dengue virus type 4
AAW51421.1,dengue virus type 4
WGD01103.1,dengue virus type 4
XQH47575.1,dengue virus type 4
UXX63128.1,dengue virus type 4
QTX92348.1,dengue virus type 4
YDE81639.1,dengue virus type 4
ACS32010.1,dengue virus type 4
QTX92096.1,dengue virus type 4
UNO86025.1,dengue virus type 4
YAJ45112.1,dengue virus type 4
QTX92184.1,dengue virus type 4
QTX92353.1,dengue virus type 4
AFD53008.1,dengue virus type 4
WVN40864.1,dengue virus type 4
QEP41651.1,dengue virus type 4
YBZ63808.1,dengue virus type 4
WRW13095.1,dengue virus type 4
ANW72071.1,dengue virus type 4
UZJ81438.1,dengue virus type 4
WVN40869.1,dengue virus type 4
QTX92189.1,dengue virus type 4
XQH47618.1,dengue virus type 4
ALN22021.1,dengue virus type 4
WRW13130.1,dengue virus type 4
UZJ81426.1,dengue virus type 4
QTX92318.1,dengue virus type 4
AQV12759.1,dengue virus type 4
QTX92303.1,dengue virus type 4
WXR65035.1,dengue virus type 4
USV27813.1,dengue virus type 4
AQV12725.1,dengue virus type 4
WGD01079.1,dengue virus type 4
WRW13096.1,dengue virus type 4
WRU43951.1,dengue virus type 4
WRW13068.1,dengue virus type 4
QTX92375.1,dengue virus type 4
AQV12668.1,dengue virus type 4
UDW38822.1,dengue virus type 4
WLD15700.1,dengue virus type 4
QTX92384.1,dengue virus type 4
XQH47626.1,dengue virus type 4
ACS32019.1,dengue virus type 4
WME20567.1,dengue virus type 4
QTX92099.1,dengue virus type 4
QTX92243.1,dengue virus type 4
QTX92139.1,dengue virus type 4
WRU43955.1,dengue virus type 4
XKQ27356.1,dengue virus type 4
QTX92164.1,dengue virus type 4
AQV12654.1,dengue virus type 4
AHG06382.1,dengue virus type 4
QTX92352.1,dengue virus type 4
WRW13071.1,dengue virus type 4
QTX92344.1,dengue virus type 4
WCZ55642.1,dengue virus type 4
WXR65042.1,dengue virus type 4
QTX92271.1,dengue virus type 4
QZP79863.1,dengue virus type 4
QTE05842.1,dengue virus type 4
XQH47613.1,dengue virus type 4
ARN79587.1,dengue virus type 4
WCZ55624.2,dengue virus type 4
AQV12746.1,dengue virus type 4
AQV12658.1,dengue virus type 4
AUY62013.1,dengue virus type 4
QCZ25011.1,dengue virus type 4
QEP41644.1,dengue virus type 4
AFX65871.1,dengue virus type 4
WGD01096.1,dengue virus type 4
QTE05838.1,dengue virus type 4
AQV12770.1,dengue virus type 4
WRW13083.1,dengue virus type 4
AKQ00028.1,dengue virus type 4
XOX34256.1,dengue virus type 4
QTX92319.1,dengue virus type 4
WXR65049.1,dengue virus type 4
WRW13108.1,dengue virus type 4
QTX92214.1,dengue virus type 4
WCZ55612.1,dengue virus type 4
BBG31521.1,dengue virus type 4
AQV12761.1,dengue virus type 4
WRW13070.1,dengue virus type 4
QTX92242.1,dengue virus type 4
YDE81636.1,dengue virus type 4
QTX92227.1,dengue virus type 4
AQV12685.1,dengue virus type 4
AIQ84234.1,dengue virus type 4
QTX92218.1,dengue virus type 4
QCE20687.1,dengue virus type 4
QHZ01374.1,dengue virus type 4
QTX92195.1,dengue virus type 4
ACS32014.1,dengue virus type 4
AQV12688.1,dengue virus type 4
QTX92104.1,dengue virus type 4
XXH95403.1,dengue virus type 4
WXR65043.1,dengue virus type 4
WRW13080.1,dengue virus type 4
WRU43950.1,dengue virus type 4
AQV12720.1,dengue virus type 4
UKS50268.1,dengue virus type 4
QTX92276.1,dengue virus type 4
XGZ23346.1,dengue virus type 4
WGD01101.1,dengue virus type 4
WLD15695.1,dengue virus type 4
AIQ84223.1,dengue virus type 4
XQH47622.1,dengue virus type 4
UZJ81451.1,dengue virus type 4
AQV12680.1,dengue virus type 4
QTX92090.1,dengue virus type 4
ARB18129.1,dengue virus type 4
WDZ68262.1,dengue virus type 4
WRW13051.1,dengue virus type 4
WCZ55660.2,dengue virus type 4
QTX92168.1,dengue virus type 4
WRW13120.1,dengue virus type 4
WVN40873.1,dengue virus type 4
QTX92201.1,dengue virus type 4
WGD01100.1,dengue virus type 4
AQV12655.1,dengue virus type 4
UZJ81419.1,dengue virus type 4
QTX92334.1,dengue virus type 4
WRW13094.1,dengue virus type 4
AQV12705.1,dengue virus type 4
YAJ45108.1,dengue virus type 4
QTX92281.1,dengue virus type 4
WVN40844.1,dengue virus type 4
QTX92169.1,dengue virus type 4
ACO06145.1,dengue virus type 4
WDZ68269.1,dengue virus type 4
WRW13105.1,dengue virus type 4
QTX92385.1,dengue virus type 4
QCE20765.1,dengue virus type 4
QBA29684.1,dengue virus type 4
AAU89378.1,dengue virus type 4
YBZ63821.1,dengue virus type 4
XKQ27376.1,dengue virus type 4
QTX92115.1,dengue virus type 4
WRW13077.1,dengue virus type 4
WGD01102.1,dengue virus type 4
WCZ55579.2,dengue virus type 4
AQV12768.1,dengue virus type 4
AFX65881.1,dengue virus type 4
WDZ68279.1,dengue virus type 4
XQH47625.1,dengue virus type 4
QTX92373.1,dengue virus type 4
XQH47638.1,dengue virus type 4
WLD15697.1,dengue virus type 4
QTX92223.1,dengue virus type 4
QTE05827.1,dengue virus type 4
AIQ84235.1,dengue virus type 4
YAA48905.1,dengue virus type 4
QDG00753.1,dengue virus type 4
XQH47614.1,dengue virus type 4
UZJ81405.1,dengue virus type 4
QTX92328.1,dengue virus type 4
WRU43945.1,dengue virus type 4
XQH47481.1,dengue virus type 4
XKQ27351.1,dengue virus type 4
YDE81647.1,dengue virus type 4
WRW13103.1,dengue virus type 4
WCZ55635.1,dengue virus type 4
WCZ55621.2,dengue virus type 4
UZJ81396.1,dengue virus type 4
WCZ55591.2,dengue virus type 4
ALN22019.1,dengue virus type 4
QTX92329.1,dengue virus type 4
USW91939.1,dengue virus type 4
UXX63129.1,dengue virus type 4
QCZ25012.1,dengue virus type 4
WWM53779.1,dengue virus type 4
QCZ25009.2,dengue virus type 4
QCE20762.1,dengue virus type 4
QTX92152.1,dengue virus type 4
QTX92151.1,dengue virus type 4
WRW13128.1,dengue virus type 4
WGD01095.1,dengue virus type 4
QTX92354.1,dengue virus type 4
XQH47630.1,dengue virus type 4
YDE81633.1,dengue virus type 4
UZI17955.1,dengue virus type 4
WLD15698.1,dengue virus type 4
XXH95401.1,dengue virus type 4
QTX92132.1,dengue virus type 4
UZJ81400.1,dengue virus type 4
QCE20767.1,dengue virus type 4
WCZ55643.1,dengue virus type 4
ARO78371.1,dengue virus type 4
AQV12714.1,dengue virus type 4
YAJ45061.1,dengue virus type 4
UZJ81417.1,dengue virus type 4
QTX92187.1,dengue virus type 4
XQH47583.1,dengue virus type 4
XQH47640.1,dengue virus type 4
WWT53187.1,dengue virus type 4
WCZ55622.1,dengue virus type 4
QHZ01382.1,dengue virus type 4
UCQ65263.1,dengue virus type 4
QTE05836.1,dengue virus type 4
QTX92244.1,dengue virus type 4
AXG50965.1,dengue virus type 4
WWT53184.1,dengue virus type 4
YAA48904.1,dengue virus type 4
WDE20581.1,dengue virus type 4
AQV12664.1,dengue virus type 4
USI59542.1,dengue virus type 4
QPI70488.1,dengue virus type 4
ACS32018.1,dengue virus type 4
QHZ01375.1,dengue virus type 4
WDZ68273.1,dengue virus type 4
AIQ84233.1,dengue virus type 4
XKQ27334.1,dengue virus type 4
QTX93362.1,dengue virus type 3
AIQ84239.1,dengue virus type 4
WRW13086.1,dengue virus type 4
WWT53186.1,dengue virus type 4
QTX92148.1,dengue virus type 4
QTX92232.1,dengue virus type 4
WXR65053.1,dengue virus type 4
XQH47600.1,dengue virus type 4
YAJ45085.1,dengue virus type 4
QTX92179.1,dengue virus type 4
WEG68715.1,dengue virus type 4
WRW13056.1,dengue virus type 4
WVN40819.1,dengue virus type 4
WCZ55604.1,dengue virus type 4
UZI17961.1,dengue virus type 4
YAE67936.1,dengue virus type 4
QTX92241.1,dengue virus type 4
QTX92361.1,dengue virus type 4
UZJ81394.1,dengue virus type 4
QTX92307.1,dengue virus type 4
QFS19544.1,dengue virus type 4
QTX92274.1,dengue virus type 4
ARN79599.1,dengue virus type 4
AMP43484.1,dengue virus type 4
ACN54389.1,dengue virus type 4
QZP79864.1,dengue virus type 4
QTX92173.1,dengue virus type 4
AEA50929.1,dengue virus type 4
QDG00759.1,dengue virus type 4
WCZ55608.2,dengue virus type 4
QTX92150.1,dengue virus type 4
ARN79589.1,dengue virus type 4
AQV12659.1,dengue virus type 4
WCZ55455.2,dengue virus type 2
ARN79592.1,dengue virus type 4
AST12925.1,dengue virus type 4
WXR65048.1,dengue virus type 4
ACL99031.1,dengue virus type 4
WXR65050.1,dengue virus type 4
QTX92370.1,dengue virus type 4
QFS19545.1,dengue virus type 4
QTX92230.1,dengue virus type 4
WRW13127.1,dengue virus type 4
AQV12748.1,dengue virus type 4
WXR65034.1,dengue virus type 4
QTX92211.1,dengue virus type 4
QTP17338.1,dengue virus type 4
QTX92199.1,dengue virus type 4
YAJ45118.1,dengue virus type 4
XQH47570.1,dengue virus type 4
QTX92127.1,dengue virus type 4
WRW13075.1,dengue virus type 4
ACH61687.1,dengue virus type 4
XDT57288.1,dengue virus type 4
USW91937.1,dengue virus type 4
YAB37936.1,dengue virus type 4
QTX92119.1,dengue virus type 4
QTX92355.1,dengue virus type 4
QTX92180.1,dengue virus type 4
WXR65033.1,dengue virus type 4
AKQ00031.1,dengue virus type 4
WRW13116.1,dengue virus type 4
WRW13111.1,dengue virus type 4
ARJ31953.1,dengue virus type 4
WVN40830.1,dengue virus type 4
QCZ25013.2,dengue virus type 4
XQH47621.1,dengue virus type 4
WCZ55645.1,dengue virus type 4
QTX92239.1,dengue virus type 4
WCZ55654.1,dengue virus type 4
UDW38833.1,dengue virus type 4
QTE05843.1,dengue virus type 4
AHG06379.1,dengue virus type 4
XQH47639.1,dengue virus type 4
ARN79585.1,dengue virus type 4
ACQ44406.1,dengue virus type 4
QTX92383.1,dengue virus type 4
XKQ27353.1,dengue virus type 4
WCZ55607.1,dengue virus type 4
AIQ84230.1,dengue virus type 4
WCZ55655.1,dengue virus type 4
QTE05837.1,dengue virus type 4
QTX92291.1,dengue virus type 4
YAJ45102.1,dengue virus type 4
WDE20583.1,dengue virus type 4
QTX92236.1,dengue virus type 4
QTX92359.1,dengue virus type 4
XQH47577.1,dengue virus type 4
AQV12678.1,dengue virus type 4
XQH47598.1,dengue virus type 4
QTX92357.1,dengue virus type 4
XQH47569.1,dengue virus type 4
AIQ84242.1,dengue virus type 4
QFS19540.1,dengue virus type 4
AAU89375.1,dengue virus type 4
UZJ81402.1,dengue virus type 4
QST05088.1,dengue virus type 4
QTX92153.1,dengue virus type 4
QBQ58394.1,dengue virus type 4
QTX92097.1,dengue virus type 4
XQH47571.1,dengue virus type 4
QTX92323.1,dengue virus type 4
WCZ55646.2,dengue virus type 4
AQV12692.1,dengue virus type 4
AQV12713.1,dengue virus type 4
WRU43960.1,dengue virus type 4
XQH47634.1,dengue virus type 4
AQV12690.1,dengue virus type 4
ARN79603.1,dengue virus type 4
QTE05839.1,dengue virus type 4
ACH61714.1,dengue virus type 4
XQH47624.1,dengue virus type 4
XKQ27359.1,dengue virus type 4
WCZ55628.2,dengue virus type 4
YAJ45104.1,dengue virus type 4
WCZ55589.1,dengue virus type 4
ARN79590.1,dengue virus type 4
AQV12718.1,dengue virus type 4
QTX92372.1,dengue virus type 4
AAX48017.1,dengue virus type 4
QEP41646.1,dengue virus type 4
AAU89376.1,dengue virus type 4
XQH47637.1,dengue virus type 4
AQV12756.1,dengue virus type 4
YBU65599.1,dengue virus type 4
XQH47595.1,dengue virus type 4
WCZ55595.1,dengue virus type 4
QTX92267.1,dengue virus type 4
QTX92392.1,dengue virus type 4
QTX92360.1,dengue virus type 4
QTX92249.1,dengue virus type 4
AIQ84229.1,dengue virus type 4
YDE81643.1,dengue virus type 4
AVW85695.1,dengue virus type 4
WRW13060.1,dengue virus type 4
QDG00758.1,dengue virus type 4
AQV12719.1,dengue virus type 4
AEX91754.1,dengue virus type 4
YAJ45060.1,dengue virus type 4
QTX92215.1,dengue virus type 4
ACS32017.1,dengue virus type 4
ARN79605.1,dengue virus type 4
AQV12735.1,dengue virus type 4
WME20569.1,dengue virus type 4
UCQ65260.1,dengue virus type 4
QTX92172.1,dengue virus type 4
ARO78369.1,dengue virus type 4
UKS50265.1,dengue virus type 4
XQH47628.1,dengue virus type 4
WVN40840.1,dengue virus type 4
QTE05824.1,dengue virus type 4
QTX92285.1,dengue virus type 4
QTX92188.1,dengue virus type 4
QTX92341.1,dengue virus type 4
ACW83011.1,dengue virus type 4
WCZ55652.1,dengue virus type 4
QCE20763.1,dengue virus type 4
QTX92306.1,dengue virus type 4
AIQ84241.1,dengue virus type 4
YAJ45046.1,dengue virus type 4
WXR65056.1,dengue virus type 4
QTX92182.1,dengue virus type 4
AKQ62916.1,dengue virus type 4
AGI95993.1,dengue virus type 4
WCZ55653.1,dengue virus type 4
WGD01105.1,dengue virus type 4
AQV12665.1,dengue virus type 4
QTX92190.1,dengue virus type 4
ACO06140.1,dengue virus type 4
WCZ55606.1,dengue virus type 4
XQH47576.1,dengue virus type 4
AAU89379.1,dengue virus type 4
AFX65880.1,dengue virus type 4
QTX92363.1,dengue virus type 4
QDG00752.1,dengue virus type 4
AQV12717.1,dengue virus type 4
WDZ68263.1,dengue virus type 4
UXX63135.1,dengue virus type 4
AFX65878.1,dengue virus type 4
AFY10034.1,dengue virus type 4
UZJ81435.1,dengue virus type 4
UZJ81416.1,dengue virus type 4
AFY10032.1,dengue virus type 4
QTX92245.1,dengue virus type 4
ACL99035.1,dengue virus type 4
ACQ44390.1,dengue virus type 4
ALJ53458.1,dengue virus type 4
QTX92181.1,dengue virus type 4
ACL99060.1,dengue virus type 4
QST05087.1,dengue virus type 4
YAJ45126.1,dengue virus type 4
QTX92259.1,dengue virus type 4
WVN40859.1,dengue virus type 4
WRW13091.1,dengue virus type 4
UDW38821.1,dengue virus type 4
UZJ81392.1,dengue virus type 4
AQV12727.1,dengue virus type 4
QTX92116.1,dengue virus type 4
WZM84534.1,dengue virus type 4
ACS32037.1,dengue virus type 4
UZJ81423.1,dengue virus type 4
UUG60302.1,dengue virus type 1
XKQ27355.1,dengue virus type 4
WRW13063.1,dengue virus type 4
ACS32013.1,dengue virus type 4
AQV12744.1,dengue virus type 4
QTX92234.1,dengue virus type 4
QTX92185.1,dengue virus type 4
QTX92304.1,dengue virus type 4
ACQ44393.1,dengue virus type 4
UDW38830.1,dengue virus type 4
AHC72432.1,dengue virus type 4
AQV12673.1,dengue virus type 4
AQV12734.1,dengue virus type 4
ARN79597.1,dengue virus type 4
ARN79596.1,dengue virus type 4
AFY10035.1,dengue virus type 4
WCZ55593.2,dengue virus type 4
YAJ45044.1,dengue virus type 4
QTX92212.1,dengue virus type 4
WME20573.1,dengue virus type 4
WRW13113.1,dengue virus type 4
WCZ55662.1,dengue virus type 4
UDW38829.1,dengue virus type 4
UZJ81430.1,dengue virus type 4
AQV12716.1,dengue virus type 4
QTX92134.1,dengue virus type 4
WRW13073.1,dengue virus type 4
YDE81645.1,dengue virus type 4
WRW13100.1,dengue virus type 4
UZJ81411.1,dengue virus type 4
QTX92138.1,dengue virus type 4
ACL99029.1,dengue virus type 4
QTX92206.1,dengue virus type 4
QHZ01377.1,dengue virus type 4
YAJ45100.1,dengue virus type 4
QTX92332.1,dengue virus type 4
UZJ81440.1,dengue virus type 4
YBZ63809.1,dengue virus type 4
AAV31422.1,dengue virus type 4
AQV12661.1,dengue virus type 4
QTX92365.1,dengue virus type 4
AQV12710.1,dengue virus type 4
XQH47610.1,dengue virus type 4
ACW83012.1,dengue virus type 4
AFY10038.1,dengue virus type 4
WVN40832.1,dengue virus type 4
QTX92278.1,dengue virus type 4
QTX92311.1,dengue virus type 4
ACH61691.1,dengue virus type 4
AFY10036.1,dengue virus type 4
AHG23291.1,dengue virus type 4
QZP79862.1,dengue virus type 4
QTX92299.1,dengue virus type 4
AQV12740.1,dengue virus type 4
WRW13053.1,dengue virus type 4
QDG00757.1,dengue virus type 4
WVN40811.1,dengue virus type 4
AQV12739.1,dengue virus type 4
WGD01087.1,dengue virus type 4
WCZ55661.2,dengue virus type 4
UJT50351.1,dengue virus type 4
XHH89769.1,dengue virus type 4
ACH61689.1,dengue virus type 4
AQV12651.1,dengue virus type 4
QTE05832.1,dengue virus type 4
ACL99025.1,dengue virus type 4
WDZ68277.1,dengue virus type 4
AQV12706.1,dengue virus type 4
QTX92098.1,dengue virus type 4
QTX92213.1,dengue virus type 4
WCZ55581.1,dengue virus type 4
QTX92294.1,dengue virus type 4
YAJ45078.1,dengue virus type 4
XKQ27342.1,dengue virus type 4
WCZ55620.2,dengue virus type 4
QTX92137.1,dengue virus type 4
AQV12729.1,dengue virus type 4
XQH47480.1,dengue virus type 4
XHB72336.1,dengue virus type 4
QTX92233.1,dengue virus type 4
QTX92231.1,dengue virus type 4
QTX92339.1,dengue virus type 4
AQV12675.1,dengue virus type 4
QTX92117.1,dengue virus type 4
USW90911.1,dengue virus type 4
WAL37608.1,dengue virus type 4
AHG23275.1,dengue virus type 4
WRW13092.1,dengue virus type 4
WRU43958.1,dengue virus type 4
QTX92089.1,dengue virus type 4
UWM25510.1,dengue virus type 4
XQH47597.1,dengue virus type 4
WCZ55594.1,dengue virus type 4
WRW13109.1,dengue virus type 4
QTX92315.1,dengue virus type 4
XQH47617.1,dengue virus type 4
WGD01084.1,dengue virus type 4
ARO78368.1,dengue virus type 4
WRW13099.1,dengue virus type 4
AMW17747.1,dengue virus type 4
WRW13089.1,dengue virus type 4
WVN40829.1,dengue virus type 4
QTX92105.1,dengue virus type 4
AQV12715.1,dengue virus type 4
WCZ55609.1,dengue virus type 4
QTX92112.1,dengue virus type 4
ACW83010.1,dengue virus type 4
QTX92178.1,dengue virus type 4
AEJ33672.1,dengue virus type 4
XKQ27371.1,dengue virus type 4
WVN40834.1,dengue virus type 4
XQH47581.1,dengue virus type 4
QTX92312.1,dengue virus type 4
WDZ68270.1,dengue virus type 4
WRW13065.1,dengue virus type 4
XXH95400.1,dengue virus type 4
QTX92208.1,dengue virus type 4
AQV12700.1,dengue virus type 4
AQV12687.1,dengue virus type 4
AQV12743.1,dengue virus type 4
ACQ44401.1,dengue virus type 4
UVK35476.1,dengue virus type 4
UZI17959.1,dengue virus type 4
WCZ55644.1,dengue virus type 4
AQV12736.1,dengue virus type 4
AFY10039.1,dengue virus type 4
AUN35144.1,dengue virus type 4
QTX92205.1,dengue virus type 4
QFS19543.1,dengue virus type 4
AIQ84236.1,dengue virus type 4
QTX92217.1,dengue virus type 4
ADK37472.1,dengue virus type 4
WXR65047.1,dengue virus type 4
QTX92261.1,dengue virus type 4
WRW13093.1,dengue virus type 4
ACL99026.1,dengue virus type 4
XGZ23333.1,dengue virus type 4
YBP09349.1,dengue virus type 4
XEO29477.1,dengue virus type 4
WXR65041.1,dengue virus type 4
ACQ44405.1,dengue virus type 4
QTX92125.1,dengue virus type 4
AQV12708.1,dengue virus type 4
WME20572.1,dengue virus type 4
XQH47573.1,dengue virus type 4
UDW38832.1,dengue virus type 4
WRW13059.1,dengue virus type 4
AQV12679.1,dengue virus type 4
UZJ81437.1,dengue virus type 4
AFP27208.1,dengue virus type 4
XQH47627.1,dengue virus type 4
XOX34250.1,dengue virus type 4
WVN40842.1,dengue virus type 4
WCZ55615.2,dengue virus type 4
XQH47586.1,dengue virus type 4
XKQ27377.1,dengue virus type 4
BAU45389.1,dengue virus type 4
YAJ45123.1,dengue virus type 4
QTX92140.1,dengue virus type 4
ARX96505.1,dengue virus type 4
QTX92297.1,dengue virus type 4
QTE05830.1,dengue virus type 4
WVN40871.1,dengue virus type 4
UXX63132.1,dengue virus type 4
ACW82931.1,dengue virus type 4
YAJ45113.1,dengue virus type 4
QTX92110.1,dengue virus type 4
UXY83034.1,dengue virus type 4
QTX92131.1,dengue virus type 4
WGD01080.1,dengue virus type 4
AIQ84221.1,dengue virus type 4
WRW13072.1,dengue virus type 4
ACL99023.1,dengue virus type 4
UDW38828.1,dengue virus type 4
WRW13057.1,dengue virus type 4
WLD15586.1,dengue virus type 4
YDE81637.1,dengue virus type 4
QTX92391.1,dengue virus type 4
WVN40833.1,dengue virus type 4
WCZ55601.1,dengue virus type 4
QCZ25014.1,dengue virus type 4
ARN79598.1,dengue virus type 4
QTX92371.1,dengue virus type 4
AFX65866.1,dengue virus type 4
QTX92379.1,dengue virus type 4
QTX92314.1,dengue virus type 4
AHG23280.1,dengue virus type 4
AQV12666.1,dengue virus type 4
QST05090.1,dengue virus type 4
YDE81635.1,dengue virus type 4
XQH47619.1,dengue virus type 4
YAJ45064.1,dengue virus type 4
YBP09350.1,dengue virus type 4
UZI17957.1,dengue virus type 4
AEX09558.1,dengue virus type 4
QTX92221.1,dengue virus type 4
XQH47596.1,dengue virus type 4
QTX92170.1,dengue virus type 4
AVW85694.1,dengue virus type 4
WRU43947.1,dengue virus type 4
AEX09557.1,dengue virus type 4
YDE81646.1,dengue virus type 4
WCZ55598.1,dengue virus type 4
UZJ81413.1,dengue virus type 4
UNO86027.1,dengue virus type 1
AFX65873.1,dengue virus type 4
AFZ40129.1,dengue virus type 4
QTX92228.1,dengue virus type 4
YAJ45043.1,dengue virus type 4
WCZ55623.1,dengue virus type 4
