protein_name,rna_name,dengue
AQV12700.1,KY586874.1,dengue virus type 4
AQV12699.1,KY586873.1,dengue virus type 4
AQV12698.1,KY586872.1,dengue virus type 4
AQV12697.1,KY586871.1,dengue virus type 4
AQV12696.1,KY586870.1,dengue virus type 4
AQV12695.1,KY586869.1,dengue virus type 4
AQV12694.1,KY586868.1,dengue virus type 4
AQV12693.1,KY586867.1,dengue virus type 4
AQV12692.1,KY586866.1,dengue virus type 4
AQV12691.1,KY586865.1,dengue virus type 4
AQV12690.1,KY586864.1,dengue virus type 4
AQV12689.1,KY586863.1,dengue virus type 4
AQV12688.1,KY586862.1,dengue virus type 4
AQV12687.1,KY586861.1,dengue virus type 4
AQV12686.1,KY586860.1,dengue virus type 4
AQV12685.1,KY586859.1,dengue virus type 4
AQV12684.1,KY586858.1,dengue virus type 4
AQV12683.1,KY586857.1,dengue virus type 4
AQV12682.1,KY586856.1,dengue virus type 4
AQV12681.1,KY586855.1,dengue virus type 4
AQV12680.1,KY586854.1,dengue virus type 4
AQV12679.1,KY586853.1,dengue virus type 4
AQV12678.1,KY586852.1,dengue virus type 4
AQV12677.1,KY586851.1,dengue virus type 4
AQV12676.1,KY586850.1,dengue virus type 4
AQV12675.1,KY586849.1,dengue virus type 4
AQV12674.1,KY586848.1,dengue virus type 4
AQV12673.1,KY586847.1,dengue virus type 4
AQV12672.1,KY586846.1,dengue virus type 4
AQV12671.1,KY586845.1,dengue virus type 4
AQV12670.1,KY586844.1,dengue virus type 4
AQV12669.1,KY586843.1,dengue virus type 4
AQV12668.1,KY586842.1,dengue virus type 4
AQV12667.1,KY586841.1,dengue virus type 4
AQV12666.1,KY586840.1,dengue virus type 4
AQV12665.1,KY586839.1,dengue virus type 4
AQV12664.1,KY586838.1,dengue virus type 4
AQV12663.1,KY586837.1,dengue virus type 4
AQV12662.1,KY586836.1,dengue virus type 4
AQV12661.1,KY586835.1,dengue virus type 4
AQV12660.1,KY586834.1,dengue virus type 4
AQV12659.1,KY586833.1,dengue virus type 4
AQV12658.1,KY586832.1,dengue virus type 4
AQV12657.1,KY586831.1,dengue virus type 4
AQV12656.1,KY586830.1,dengue virus type 4
AQV12655.1,KY586829.1,dengue virus type 4
AQV12654.1,KY586828.1,dengue virus type 4
AQV12653.1,KY586827.1,dengue virus type 4
AQV12652.1,KY586826.1,dengue virus type 4
AQV12651.1,KY586825.1,dengue virus type 4
AQV12650.1,KY586824.1,dengue virus type 4
AQV12649.1,KY586823.1,dengue virus type 4
AQV12648.1,KY586822.1,dengue virus type 3
AQV12647.1,KY586821.1,dengue virus type 3
AQV12646.1,KY586820.1,dengue virus type 3
AQV12644.1,KY586818.1,dengue virus type 3
AQV12643.1,KY586817.1,dengue virus type 3
AQV12642.1,KY586816.1,dengue virus type 3
AQV12641.1,KY586815.1,dengue virus type 3
AQV12640.1,KY586814.1,dengue virus type 3
AQV12639.1,KY586813.1,dengue virus type 3
AQV12638.1,KY586812.1,dengue virus type 3
AQV12637.1,KY586811.1,dengue virus type 3
AQV12636.1,KY586810.1,dengue virus type 3
AQV12635.1,KY586809.1,dengue virus type 3
AQV12634.1,KY586808.1,dengue virus type 3
AQV12633.1,KY586807.1,dengue virus type 3
AQV12632.1,KY586806.1,dengue virus type 3
AQV12631.1,KY586805.1,dengue virus type 3
AQV12630.1,KY586804.1,dengue virus type 3
AQV12629.1,KY586803.1,dengue virus type 3
AQV12628.1,KY586802.1,dengue virus type 3
AQV12627.1,KY586801.1,dengue virus type 3
AQV12626.1,KY586800.1,dengue virus type 3
AQV12625.1,KY586799.1,dengue virus type 3
AQV12624.1,KY586798.1,dengue virus type 3
AQV12623.1,KY586797.1,dengue virus type 3
AQV12622.1,KY586796.1,dengue virus type 3
AQV12621.1,KY586795.1,dengue virus type 3
AQV12620.1,KY586794.1,dengue virus type 3
AQV12619.1,KY586793.1,dengue virus type 3
AQV12618.1,KY586792.1,dengue virus type 3
AQV12617.1,KY586791.1,dengue virus type 3
AQV12616.1,KY586790.1,dengue virus type 3
AQV12615.1,KY586789.1,dengue virus type 3
AQV12614.1,KY586788.1,dengue virus type 3
AQV12613.1,KY586787.1,dengue virus type 3
AQV12612.1,KY586786.1,dengue virus type 3
AQV12611.1,KY586785.1,dengue virus type 3
AQV12610.1,KY586784.1,dengue virus type 3
AQV12609.1,KY586783.1,dengue virus type 3
AQV12608.1,KY586782.1,dengue virus type 3
AQV12607.1,KY586781.1,dengue virus type 3
AQV12606.1,KY586780.1,dengue virus type 3
AQV12605.1,KY586779.1,dengue virus type 3
AQV12604.1,KY586778.1,dengue virus type 3
AQV12603.1,KY586777.1,dengue virus type 3
AQV12602.1,KY586776.1,dengue virus type 3
AQV12601.1,KY586775.1,dengue virus type 3
AQV12600.1,KY586774.1,dengue virus type 3
AQV12599.1,KY586773.1,dengue virus type 3
AQV12598.1,KY586772.1,dengue virus type 3
AQV12597.1,KY586771.1,dengue virus type 3
AQV12596.1,KY586770.1,dengue virus type 3
AQV12595.1,KY586769.1,dengue virus type 3
AQV12594.1,KY586768.1,dengue virus type 3
AQV12593.1,KY586767.1,dengue virus type 3
AQV12592.1,KY586766.1,dengue virus type 3
AQV12591.1,KY586765.1,dengue virus type 3
AQV12590.1,KY586764.1,dengue virus type 3
AQV12589.1,KY586763.1,dengue virus type 3
AQV12588.1,KY586762.1,dengue virus type 3
AQV12587.1,KY586761.1,dengue virus type 3
AQV12586.1,KY586760.1,dengue virus type 3
AQV12585.1,KY586759.1,dengue virus type 3
AQV12584.1,KY586758.1,dengue virus type 3
AQV12583.1,KY586757.1,dengue virus type 3
AQV12582.1,KY586756.1,dengue virus type 3
AQV12581.1,KY586755.1,dengue virus type 3
AQV12579.1,KY586753.1,dengue virus type 3
AQV12578.1,KY586752.1,dengue virus type 3
AQV12577.1,KY586751.1,dengue virus type 3
AQV12576.1,KY586750.1,dengue virus type 3
AQV12575.1,KY586749.1,dengue virus type 3
AQV12574.1,KY586748.1,dengue virus type 3
AQV12573.1,KY586747.1,dengue virus type 3
AQV12572.1,KY586746.1,dengue virus type 3
AQV12571.1,KY586745.1,dengue virus type 3
AQV12570.1,KY586744.1,dengue virus type 3
AQV12568.1,KY586742.1,dengue virus type 3
AQV12566.1,KY586740.1,dengue virus type 3
AQV12565.1,KY586739.1,dengue virus type 3
AQV12564.1,KY586738.1,dengue virus type 3
AQV12563.1,KY586737.1,dengue virus type 3
AQV12562.1,KY586736.1,dengue virus type 3
AQV12561.1,KY586735.1,dengue virus type 3
AQV12560.1,KY586734.1,dengue virus type 3
AQV12559.1,KY586733.1,dengue virus type 3
AQV12558.1,KY586732.1,dengue virus type 3
AQV12557.1,KY586731.1,dengue virus type 3
AQV12556.1,KY586730.1,dengue virus type 3
AQV12555.1,KY586729.1,dengue virus type 3
AQV12554.1,KY586728.1,dengue virus type 3
AQV12553.1,KY586727.1,dengue virus type 3
AQV12552.1,KY586726.1,dengue virus type 3
AQV12551.1,KY586725.1,dengue virus type 3
AQV12550.1,KY586724.1,dengue virus type 3
AQV12549.1,KY586723.1,dengue virus type 3
AQV12548.1,KY586722.1,dengue virus type 3
AQV12547.1,KY586721.1,dengue virus type 3
AQV12546.1,KY586720.1,dengue virus type 3
AQV12545.1,KY586719.1,dengue virus type 3
AQV12544.1,KY586718.1,dengue virus type 3
AQV12543.1,KY586717.1,dengue virus type 3
AQV12542.1,KY586716.1,dengue virus type 3
AQV12541.1,KY586715.1,dengue virus type 3
AQV12540.1,KY586714.1,dengue virus type 3
AQV12539.1,KY586713.1,dengue virus type 3
AQV12538.1,KY586712.1,dengue virus type 3
AQV12537.1,KY586711.1,dengue virus type 3
AQV12536.1,KY586710.1,dengue virus type 3
AQV12535.1,KY586709.1,dengue virus type 3
AQV12534.1,KY586708.1,dengue virus type 3
AQV12533.1,KY586707.1,dengue virus type 3
AQV12532.1,KY586706.1,dengue virus type 3
AQV12531.1,KY586705.1,dengue virus type 3
AQV12530.1,KY586704.1,dengue virus type 3
AQV12529.1,KY586703.1,dengue virus type 3
AQV12528.1,KY586702.1,dengue virus type 3
AQV12527.1,KY586701.1,dengue virus type 3
AQV12526.1,KY586700.1,dengue virus type 2
AQV12525.1,KY586699.1,dengue virus type 2
AQV12524.1,KY586698.1,dengue virus type 2
AQV12523.1,KY586697.1,dengue virus type 2
AQV12522.1,KY586696.1,dengue virus type 2
AQV12521.1,KY586695.1,dengue virus type 2
AQV12520.1,KY586694.1,dengue virus type 2
AQV12519.1,KY586693.1,dengue virus type 2
AQV12518.1,KY586692.1,dengue virus type 2
AQV12517.1,KY586691.1,dengue virus type 2
AQV12516.1,KY586690.1,dengue virus type 2
AQV12515.1,KY586689.1,dengue virus type 2
AQV12514.1,KY586688.1,dengue virus type 2
AQV12513.1,KY586687.1,dengue virus type 2
AQV12512.1,KY586686.1,dengue virus type 2
AQV12511.1,KY586685.1,dengue virus type 2
AQV12510.1,KY586684.1,dengue virus type 2
AQV12509.1,KY586683.1,dengue virus type 2
AQV12508.1,KY586682.1,dengue virus type 2
AQV12507.1,KY586681.1,dengue virus type 2
AQV12506.1,KY586680.1,dengue virus type 2
AQV12505.1,KY586679.1,dengue virus type 2
AQV12504.1,KY586678.1,dengue virus type 2
AQV12503.1,KY586677.1,dengue virus type 2
AQV12502.1,KY586676.1,dengue virus type 2
AQV12501.1,KY586675.1,dengue virus type 2
AQV12500.1,KY586674.1,dengue virus type 2
AQV12499.1,KY586673.1,dengue virus type 2
AQV12498.1,KY586672.1,dengue virus type 2
AQV12497.1,KY586671.1,dengue virus type 2
AQV12496.1,KY586670.1,dengue virus type 2
AQV12495.1,KY586669.1,dengue virus type 2
AQV12494.1,KY586668.1,dengue virus type 2
AQV12493.1,KY586667.1,dengue virus type 2
AQV12492.1,KY586666.1,dengue virus type 2
AQV12491.1,KY586665.1,dengue virus type 2
AQV12490.1,KY586664.1,dengue virus type 2
AQV12489.1,KY586663.1,dengue virus type 2
AQV12488.1,KY586662.1,dengue virus type 2
AQV12487.1,KY586661.1,dengue virus type 2
AQV12486.1,KY586660.1,dengue virus type 2
AQV12485.1,KY586659.1,dengue virus type 2
AQV12484.1,KY586658.1,dengue virus type 2
AQV12483.1,KY586657.1,dengue virus type 2
AQV12482.1,KY586656.1,dengue virus type 2
AQV12481.1,KY586655.1,dengue virus type 2
AQV12480.1,KY586654.1,dengue virus type 2
AQV12479.1,KY586653.1,dengue virus type 2
AQV12478.1,KY586652.1,dengue virus type 2
AQV12477.1,KY586651.1,dengue virus type 2
AQV12476.1,KY586650.1,dengue virus type 2
AQV12475.1,KY586649.1,dengue virus type 2
AQV12474.1,KY586648.1,dengue virus type 2
AQV12473.1,KY586647.1,dengue virus type 2
AQV12472.1,KY586646.1,dengue virus type 2
AQV12471.1,KY586645.1,dengue virus type 2
AQV12470.1,KY586644.1,dengue virus type 2
AQV12469.1,KY586643.1,dengue virus type 2
AQV12468.1,KY586642.1,dengue virus type 2
AQV12467.1,KY586641.1,dengue virus type 2
AQV12466.1,KY586640.1,dengue virus type 2
AQV12465.1,KY586639.1,dengue virus type 2
AQV12464.1,KY586638.1,dengue virus type 2
AQV12463.1,KY586637.1,dengue virus type 2
AQV12462.1,KY586636.1,dengue virus type 2
AQV12461.1,KY586635.1,dengue virus type 2
AQV12460.1,KY586634.1,dengue virus type 2
AQV12459.1,KY586633.1,dengue virus type 2
AQV12458.1,KY586632.1,dengue virus type 2
AQV12457.1,KY586631.1,dengue virus type 2
AQV12456.1,KY586630.1,dengue virus type 2
AQV12455.1,KY586629.1,dengue virus type 2
AQV12454.1,KY586628.1,dengue virus type 2
AQV12453.1,KY586627.1,dengue virus type 2
AQV12452.1,KY586626.1,dengue virus type 2
AQV12451.1,KY586625.1,dengue virus type 2
AQV12450.1,KY586624.1,dengue virus type 2
AQV12449.1,KY586623.1,dengue virus type 2
AQV12448.1,KY586622.1,dengue virus type 2
AQV12447.1,KY586621.1,dengue virus type 2
AQV12446.1,KY586620.1,dengue virus type 2
AQV12445.1,KY586619.1,dengue virus type 2
AQV12444.1,KY586618.1,dengue virus type 2
AQV12443.1,KY586617.1,dengue virus type 2
AQV12442.1,KY586616.1,dengue virus type 2
AQV12441.1,KY586615.1,dengue virus type 2
AQV12440.1,KY586614.1,dengue virus type 2
AQV12439.1,KY586613.1,dengue virus type 2
AQV12438.1,KY586612.1,dengue virus type 2
AQV12437.1,KY586611.1,dengue virus type 2
AQV12436.1,KY586610.1,dengue virus type 2
AQV12435.1,KY586609.1,dengue virus type 2
AQV12434.1,KY586608.1,dengue virus type 2
AQV12433.1,KY586607.1,dengue virus type 2
AQV12432.1,KY586606.1,dengue virus type 2
AQV12431.1,KY586605.1,dengue virus type 2
AQV12430.1,KY586604.1,dengue virus type 2
AQV12429.1,KY586603.1,dengue virus type 2
AQV12428.1,KY586602.1,dengue virus type 2
AQV12427.1,KY586601.1,dengue virus type 2
AQV12426.1,KY586600.1,dengue virus type 2
AQV12425.1,KY586599.1,dengue virus type 2
AQV12424.1,KY586598.1,dengue virus type 2
AQV12423.1,KY586597.1,dengue virus type 2
AQV12422.1,KY586596.1,dengue virus type 2
AQV12421.1,KY586595.1,dengue virus type 2
AQV12420.1,KY586594.1,dengue virus type 2
AQV12419.1,KY586593.1,dengue virus type 2
AQV12418.1,KY586592.1,dengue virus type 2
AQV12417.1,KY586591.1,dengue virus type 2
AQV12416.1,KY586590.1,dengue virus type 2
AQV12415.1,KY586589.1,dengue virus type 2
AQV12414.1,KY586588.1,dengue virus type 2
AQV12413.1,KY586587.1,dengue virus type 2
AQV12412.1,KY586586.1,dengue virus type 2
AQV12411.1,KY586585.1,dengue virus type 2
AQV12410.1,KY586584.1,dengue virus type 2
AQV12409.1,KY586583.1,dengue virus type 2
AQV12408.1,KY586582.1,dengue virus type 2
AQV12407.1,KY586581.1,dengue virus type 2
AQV12406.1,KY586580.1,dengue virus type 2
AQV12405.1,KY586579.1,dengue virus type 2
AQV12404.1,KY586578.1,dengue virus type 2
AQV12403.1,KY586577.1,dengue virus type 2
AQV12402.1,KY586576.1,dengue virus type 2
AQV12401.1,KY586575.1,dengue virus type 2
AQV12400.1,KY586574.1,dengue virus type 2
AQV12398.1,KY586572.1,dengue virus type 2
AQV12397.1,KY586571.1,dengue virus type 2
AQV12396.1,KY586570.1,dengue virus type 2
AQV12395.1,KY586569.1,dengue virus type 2
AQV12394.1,KY586568.1,dengue virus type 2
AQV12393.1,KY586567.1,dengue virus type 2
AQV12392.1,KY586566.1,dengue virus type 2
AQV12391.1,KY586565.1,dengue virus type 2
AQV12390.1,KY586564.1,dengue virus type 2
AQV12389.1,KY586563.1,dengue virus type 2
AQV12388.1,KY586562.1,dengue virus type 2
AQV12387.1,KY586561.1,dengue virus type 2
AQV12386.1,KY586560.1,dengue virus type 2
AQV12385.1,KY586559.1,dengue virus type 2
AQV12384.1,KY586558.1,dengue virus type 2
AQV12383.1,KY586557.1,dengue virus type 2
AQV12382.1,KY586556.1,dengue virus type 2
AQV12381.1,KY586555.1,dengue virus type 2
AQV12380.1,KY586554.1,dengue virus type 2
AQV12379.1,KY586553.1,dengue virus type 2
AQV12378.1,KY586552.1,dengue virus type 2
AQV12377.1,KY586551.1,dengue virus type 2
AQV12376.1,KY586550.1,dengue virus type 2
AQV12375.1,KY586549.1,dengue virus type 2
AQV12374.1,KY586548.1,dengue virus type 2
AQV12373.1,KY586547.1,dengue virus type 2
AQV12372.1,KY586546.1,dengue virus type 1
AQV12371.1,KY586545.1,dengue virus type 1
AQV12370.1,KY586544.1,dengue virus type 1
AQV12369.1,KY586543.1,dengue virus type 1
AQV12368.1,KY586542.1,dengue virus type 1
AQV12367.1,KY586541.1,dengue virus type 1
AQV12366.1,KY586540.1,dengue virus type 1
AQV12365.1,KY586539.1,dengue virus type 1
AQV12364.1,KY586538.1,dengue virus type 1
AQV12363.1,KY586537.1,dengue virus type 1
AQV12362.1,KY586536.1,dengue virus type 1
AQV12361.1,KY586535.1,dengue virus type 1
AQV12360.1,KY586534.1,dengue virus type 1
AQV12359.1,KY586533.1,dengue virus type 1
AQV12358.1,KY586532.1,dengue virus type 1
AQV12357.1,KY586531.1,dengue virus type 1
AQV12356.1,KY586530.1,dengue virus type 1
AQV12355.1,KY586529.1,dengue virus type 1
AQV12354.1,KY586528.1,dengue virus type 1
AQV12353.1,KY586527.1,dengue virus type 1
AQV12352.1,KY586526.1,dengue virus type 1
AQV12351.1,KY586525.1,dengue virus type 1
AQV12350.1,KY586524.1,dengue virus type 1
AQV12349.1,KY586523.1,dengue virus type 1
AQV12348.1,KY586522.1,dengue virus type 1
AQV12347.1,KY586521.1,dengue virus type 1
AQV12346.1,KY586520.1,dengue virus type 1
AQV12345.1,KY586519.1,dengue virus type 1
AQV12344.1,KY586518.1,dengue virus type 1
AQV12343.1,KY586517.1,dengue virus type 1
AQV12342.1,KY586516.1,dengue virus type 1
AQV12341.1,KY586515.1,dengue virus type 1
AQV12340.1,KY586514.1,dengue virus type 1
AQV12339.1,KY586513.1,dengue virus type 1
AQV12338.1,KY586512.1,dengue virus type 1
AQV12337.1,KY586511.1,dengue virus type 1
AQV12336.1,KY586510.1,dengue virus type 1
AQV12335.1,KY586509.1,dengue virus type 1
AQV12334.1,KY586508.1,dengue virus type 1
AQV12333.1,KY586507.1,dengue virus type 1
AQV12332.1,KY586506.1,dengue virus type 1
AQV12331.1,KY586505.1,dengue virus type 1
AQV12330.1,KY586504.1,dengue virus type 1
AQV12329.1,KY586503.1,dengue virus type 1
AQV12328.1,KY586502.1,dengue virus type 1
AQV12327.1,KY586501.1,dengue virus type 1
AQV12326.1,KY586500.1,dengue virus type 1
AQV12325.1,KY586499.1,dengue virus type 1
AQV12324.1,KY586498.1,dengue virus type 1
AQV12323.1,KY586497.1,dengue virus type 1
AQV12322.1,KY586496.1,dengue virus type 1
AQV12321.1,KY586495.1,dengue virus type 1
AQV12320.1,KY586494.1,dengue virus type 1
AQV12319.1,KY586493.1,dengue virus type 1
AQV12318.1,KY586492.1,dengue virus type 1
AQV12317.1,KY586491.1,dengue virus type 1
AQV12316.1,KY586490.1,dengue virus type 1
AQV12315.1,KY586489.1,dengue virus type 1
AQV12314.1,KY586488.1,dengue virus type 1
AQV12313.1,KY586487.1,dengue virus type 1
AQV12312.1,KY586486.1,dengue virus type 1
AQV12311.1,KY586485.1,dengue virus type 1
AQV12310.1,KY586484.1,dengue virus type 1
AQV12309.1,KY586483.1,dengue virus type 1
AQV12308.1,KY586482.1,dengue virus type 1
AQV12307.1,KY586481.1,dengue virus type 1
AQV12306.1,KY586480.1,dengue virus type 1
AQV12305.1,KY586479.1,dengue virus type 1
AQV12304.1,KY586478.1,dengue virus type 1
AQV12303.1,KY586477.1,dengue virus type 1
AQV12302.1,KY586476.1,dengue virus type 1
AQV12301.1,KY586475.1,dengue virus type 1
AQV12300.1,KY586474.1,dengue virus type 1
AQV12299.1,KY586473.1,dengue virus type 1
AQV12298.1,KY586472.1,dengue virus type 1
AQV12297.1,KY586471.1,dengue virus type 1
AQV12296.1,KY586470.1,dengue virus type 1
AQV12295.1,KY586469.1,dengue virus type 1
AQV12294.1,KY586468.1,dengue virus type 1
AQV12293.1,KY586467.1,dengue virus type 1
AQV12292.1,KY586466.1,dengue virus type 1
AQV12291.1,KY586465.1,dengue virus type 1
AQV12290.1,KY586464.1,dengue virus type 1
AQV12289.1,KY586463.1,dengue virus type 1
AQV12288.1,KY586462.1,dengue virus type 1
AQV12287.1,KY586461.1,dengue virus type 1
AQV12286.1,KY586460.1,dengue virus type 1
AQV12285.1,KY586459.1,dengue virus type 1
AQV12284.1,KY586458.1,dengue virus type 1
AQV12283.1,KY586457.1,dengue virus type 1
AQV12282.1,KY586456.1,dengue virus type 1
